player,position,season,Team,TOI_all,TOI_EV,TOI_PP,TOI_SH,EV_GAR,PP_GAR,SH_GAR,Pens_GAR,GAR,WAR
PAVEL.DATSYUK,1,20072008,DET,1752,1210,350,154,19.4,6.9,3.1,6.9,36.3,7.0
CONNOR.MCDAVID,1,20162017,EDM,1728,1361,246,65,17.5,4.4,0.3,8.6,30.7,5.9
ALEX.OVECHKIN,1,20072008,WSH,1894,1372,457,12,19.4,2.3,0.0,7.2,28.9,5.6
DEREK.ROY,1,20072008,BUF,1620,1096,293,200,17.3,3.9,1.7,5.2,28.1,5.4
PAVEL.DATSYUK,1,20082009,DET,1537,1109,264,127,17.7,7.1,0.0,4.4,29.2,5.4
NICKLAS.BACKSTROM,1,20092010,WSH,1676,1261,297,88,17.7,8.8,0.8,0.4,27.7,5.2
JAROME.IGINLA,1,20072008,CGY,1733,1314,345,34,16.1,6.1,0.6,3.4,26.3,5.0
JONATHAN.TOEWS,1,20102011,CHI,1657,1227,242,152,16.3,4.1,1.1,4.4,25.9,5.0
OLIVER.EKMAN-LARSSON,2,20152016,ARI,1858,1379,381,52,17.4,4.1,0.0,3.7,25.2,4.9
ZDENO.CHARA,2,20072008,BOS,2050,1392,330,266,16.2,5.6,1.7,1.8,25.3,4.9
CHRISTIAN.EHRHOFF,2,20092010,VAN,1820,1367,239,165,15.3,4.9,2.2,1.9,24.3,4.6
EVGENI.MALKIN,1,20072008,PIT,1735,1227,402,58,13.0,5.0,0.4,5.7,24.1,4.6
DUSTIN.BROWN,1,20112012,L.A,1654,1215,267,137,10.7,3.9,0.9,7.4,22.9,4.5
NICK.FOLIGNO,1,20142015,CBJ,1485,1147,195,106,15.2,6.3,0.0,1.6,23.1,4.5
ZACH.PARISE,1,20092010,N.J,1592,1265,244,46,10.9,5.6,0.4,6.9,23.8,4.5
NICKLAS.BACKSTROM,1,20072008,WSH,1557,1181,327,20,14.1,5.4,0.0,3.5,23.1,4.4
ANZE.KOPITAR,1,20132014,L.A,1709,1229,276,161,15.4,3.7,0.0,3.0,22.0,4.3
CLAUDE.GIROUX,1,20172018,PHI,1670,1268,280,65,14.3,4.5,2.1,3.5,24.3,4.3
HENRIK.ZETTERBERG,1,20072008,DET,1653,1113,334,164,11.6,4.6,0.0,6.4,22.5,4.3
JASON.ZUCKER,1,20162017,MIN,1206,1124,19,48,18.5,0.1,0.0,3.8,22.5,4.3
MARIAN.GABORIK,1,20072008,MIN,1480,1110,249,51,15.7,2.6,0.3,3.6,22.1,4.3
SIDNEY.CROSBY,1,20132014,PIT,1756,1335,343,38,12.2,6.4,0.6,2.7,21.9,4.3
STEVEN.STAMKOS,1,20102011,T.B,1655,1233,371,27,12.6,6.0,0.0,3.9,22.5,4.3
ANZE.KOPITAR,1,20152016,L.A,1690,1264,205,172,17.7,0.6,0.0,3.4,21.7,4.2
EVGENI.MALKIN,1,20082009,PIT,1842,1264,450,85,14.4,3.7,0.0,4.9,22.9,4.2
JAMIE.BENN,1,20132014,DAL,1548,1158,296,59,17.0,2.4,1.0,1.2,21.6,4.2
JOE.THORNTON,1,20152016,S.J,1504,1161,295,3,17.1,3.8,0.0,0.3,21.3,4.2
JONATHAN.TOEWS,1,20092010,CHI,1518,1154,225,116,13.7,6.1,0.7,1.8,22.4,4.2
MARTIN.ST. LOUIS,1,20102011,T.B,1713,1285,369,36,10.5,5.7,0.0,5.6,21.9,4.2
BRENDEN.MORROW,1,20072008,DAL,1637,1144,332,105,12.8,5.4,0.4,2.6,21.2,4.1
DUSTIN.BYFUGLIEN,2,20102011,ATL,1888,1528,323,7,15.6,4.8,0.0,0.7,21.2,4.1
LUBOMIR.VISNOVSKY,2,20102011,ANA,1968,1559,328,35,12.4,6.8,0.4,2.0,21.5,4.1
MATT.CARLE,2,20102011,PHI,1801,1495,189,101,18.4,0.0,1.1,2.1,21.6,4.1
MATT.NISKANEN,2,20132014,PIT,1723,1400,242,56,19.0,2.3,0.0,-0.4,20.9,4.1
MIKE.GREEN,2,20092010,WSH,1911,1345,379,158,13.2,5.1,0.0,3.3,21.6,4.1
SIDNEY.CROSBY,1,20092010,PIT,1757,1246,397,70,18.2,2.1,0.8,0.5,21.6,4.1
TAYLOR.HALL,1,20172018,N.J,1455,1197,220,6,13.5,7.9,0.0,1.4,22.7,4.1
VLADIMIR.TARASENKO,1,20142015,STL,1357,1120,204,7,14.9,2.9,0.0,2.9,20.7,4.1
BRAD.MARCHAND,1,20162017,BOS,1555,1136,207,148,12.5,6.9,1.6,-0.3,20.7,4.0
COREY.PERRY,1,20132014,ANA,1578,1197,280,44,15.0,1.9,0.0,3.5,20.4,4.0
EVGENI.MALKIN,1,20112012,PIT,1568,1206,325,3,11.7,4.8,0.0,3.8,20.3,4.0
JOE.PAVELSKI,1,20152016,S.J,1623,1230,296,44,15.3,4.3,0.0,1.0,20.5,4.0
MARK.SCHEIFELE,1,20162017,WPG,1624,1261,237,53,17.8,0.5,0.0,2.6,20.8,4.0
MARK.STONE,1,20142015,OTT,1361,1036,191,110,15.2,3.2,0.0,2.0,20.4,4.0
SEAN.COUTURIER,1,20172018,PHI,1771,1293,260,154,18.5,1.4,0.1,2.6,22.6,4.0
ALEX.PIETRANGELO,2,20102011,STL,1738,1317,235,157,15.0,1.0,1.6,3.1,20.6,3.9
ANZE.KOPITAR,1,20102011,L.A,1614,1163,270,153,15.6,0.0,0.6,4.1,20.2,3.9
BRETT.PESCE,2,20162017,CAR,1739,1476,48,173,16.3,1.2,0.2,2.4,20.1,3.9
COLTON.PARAYKO,2,20152016,STL,1532,1302,128,75,14.9,1.4,1.1,2.4,19.8,3.9
DAN.BOYLE,2,20092010,S.J,1964,1423,322,191,12.3,5.1,1.6,1.5,20.6,3.9
DENNIS.WIDEMAN,2,20082009,BOS,1923,1421,248,216,11.3,6.3,0.8,3.0,21.4,3.9
PATRIC.HORNQVIST,1,20132014,NSH,1281,1037,216,1,14.1,2.6,0.0,3.5,20.1,3.9
PAVEL.DATSYUK,1,20092010,DET,1628,1275,264,56,12.3,1.3,1.0,6.2,20.7,3.9
RYAN.GETZLAF,1,20072008,ANA,1511,1088,297,55,14.4,7.6,0.0,-1.9,20.1,3.9
SIDNEY.CROSBY,1,20072008,PIT,1105,760,268,35,10.9,2.3,0.1,7.2,20.5,3.9
TYSON.BARRIE,2,20142015,COL,1709,1403,227,14,14.9,3.5,0.0,1.3,19.8,3.9
VICTOR.HEDMAN,2,20162017,T.B,1926,1487,232,159,8.7,7.0,1.9,2.6,20.1,3.9
ALEX.KOVALEV,1,20072008,MTL,1599,1108,327,110,9.8,7.2,0.0,2.8,19.8,3.8
CONNOR.MCDAVID,1,20172018,EDM,1767,1398,239,87,15.0,0.2,0.7,5.2,21.2,3.8
JOE.PAVELSKI,1,20102011,S.J,1454,1039,245,142,10.9,5.8,0.0,3.4,20.0,3.8
JOE.PAVELSKI,1,20142015,S.J,1650,1209,259,122,12.9,2.9,0.1,3.6,19.5,3.8
JOE.THORNTON,1,20072008,S.J,1747,1252,384,43,10.7,4.4,0.3,4.4,19.8,3.8
JOE.THORNTON,1,20132014,S.J,1552,1183,302,28,14.2,3.1,0.0,1.8,19.2,3.8
MARC-EDOUARD.VLASIC,2,20152016,S.J,1548,1225,135,150,16.1,1.2,1.3,0.8,19.5,3.8
PAUL.STASTNY,1,20072008,COL,1390,944,272,135,14.3,1.5,1.7,2.2,19.8,3.8
RYAN.MCDONAGH,2,20152016,NYR,1632,1264,141,189,15.6,0.3,0.7,2.6,19.2,3.8
TYLER.SEGUIN,1,20112012,BOS,1372,1157,198,2,17.0,0.7,0.0,1.7,19.5,3.8
TYLER.SEGUIN,1,20132014,DAL,1548,1207,300,4,11.8,2.6,0.0,5.1,19.6,3.8
ALEX.OVECHKIN,1,20082009,WSH,1815,1276,423,71,8.5,10.5,0.0,1.2,20.2,3.7
BRIAN.CAMPBELL,2,20152016,FLA,1827,1450,217,129,15.7,0.5,0.7,2.2,19.1,3.7
DAVID.PASTRNAK,1,20162017,BOS,1348,1107,195,1,9.3,6.1,0.0,4.0,19.4,3.7
EVGENY.KUZNETSOV,1,20152016,WSH,1428,1220,177,3,13.4,3.9,0.0,1.8,19.1,3.7
FILIP.FORSBERG,1,20152016,NSH,1562,1161,216,141,9.7,4.0,1.8,3.3,18.8,3.7
HENRIK.SEDIN,1,20092010,VAN,1611,1226,276,50,16.2,3.4,0.0,0.0,19.5,3.7
KEVIN.SHATTENKIRK,2,20142015,STL,1259,957,191,96,10.7,7.7,0.3,0.4,19.1,3.7
PAVEL.DATSYUK,1,20112012,DET,1370,1044,212,84,12.6,3.4,0.3,2.6,18.9,3.7
STEVEN.STAMKOS,1,20112012,T.B,1803,1410,301,43,14.0,2.0,0.5,2.4,18.9,3.7
BRAYDON.COBURN,2,20072008,PHI,1656,1249,184,166,10.7,4.3,2.7,0.9,18.5,3.6
CLAUDE.GIROUX,1,20112012,PHI,1658,1144,299,170,7.4,6.1,0.0,5.0,18.5,3.6
DEVIN.SETOGUCHI,1,20082009,S.J,1312,1069,209,15,7.0,8.7,0.0,4.0,19.7,3.6
JAMIE.BENN,1,20172018,DAL,1626,1205,246,110,15.9,4.1,0.8,-0.3,20.5,3.6
KRIS.LETANG,2,20112012,PIT,1264,950,207,83,10.9,4.1,1.4,2.2,18.6,3.6
PATRIK.ELIAS,1,20102011,N.J,1510,1082,220,169,12.8,2.5,2.3,1.4,19.0,3.6
RYAN.ELLIS,2,20132014,NSH,1285,1126,137,6,13.9,2.1,0.0,2.4,18.3,3.6
ALEX.OVECHKIN,1,20092010,WSH,1569,1170,362,4,14.4,3.5,0.0,0.9,18.8,3.5
ALEX.OVECHKIN,1,20152016,WSH,1604,1228,338,0,13.2,5.2,0.0,-0.3,18.0,3.5
ALEX.SEMIN,1,20082009,WSH,1191,836,248,94,12.7,6.4,0.3,-0.5,19.0,3.5
ALEX.SEMIN,1,20092010,WSH,1396,1054,246,72,10.2,6.8,0.0,1.5,18.5,3.5
ALEX.STEEN,1,20132014,STL,1379,997,226,129,10.3,2.5,1.2,3.6,17.7,3.5
DAN.BOYLE,2,20082009,S.J,1903,1370,353,158,6.7,6.4,2.9,3.0,18.9,3.5
